******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
        6_SELL:       1       1       0       1       3
         7_BUY:       0       2       0       0       2
        7_SELL:       0       2       0       0       2
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:       0       0       0       0       0
         1_BUY:       0       0       0       0       0
        1_SELL:       0       0       0       0       0
         2_BUY:       0       0       0       0       0
        2_SELL:       0       0       0       0       0
         3_BUY:       0       0       0       0       0
        3_SELL:       0       0       0       0       0
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       5       6      12       0      23
ROBO COLLOSION:      38      28      21      26     113
         1_BUY:       3       2       9       4      18
        1_SELL:       3       2       9       4      18
         2_BUY:       3       6       4       0      13
        2_SELL:       3       6       4       0      13
         3_BUY:       6       7       1       4      18
        3_SELL:       6       7       1       4      18
         4_BUY:       1       3       1       1       6
        4_SELL:       1       3       1       1       6
         5_BUY:       2       1       2       1       6
        5_SELL:       2       1       2       1       6
         6_BUY:       2       0       1       2       5
        6_SELL:       2       0       1       2       5
         7_BUY:       1       2       2       0       5
        7_SELL:       1       2       2       0       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0      51       3       0      54
ROBO COLLOSION:      79      88      99      27     293
         1_BUY:       2       1       6       7      16
        1_SELL:       2       1       6       7      16
         2_BUY:       5       5       8       2      20
        2_SELL:       5       4       8       2      19
         3_BUY:       6       2       3       7      18
        3_SELL:       6       2       3       7      18
         4_BUY:       1       1       3       1       6
        4_SELL:       1       1       3       1       6
         5_BUY:       0       1       1       4       6
        5_SELL:       0       1       1       4       6
         6_BUY:       4       2       0       0       6
        6_SELL:       4       2       0       0       6
         7_BUY:       0       4       0       0       4
        7_SELL:       0       4       0       0       4
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       6       0      35      41
ROBO COLLOSION:      56      38      61      27     182
         1_BUY:       4       2       6       6      18
        1_SELL:       4       2       6       6      18
         2_BUY:       6       5       5       3      19
        2_SELL:       6       5       5       3      19
         3_BUY:       6       6       3       4      19
        3_SELL:       6       6       3       4      19
         4_BUY:       2       0       4       2       8
        4_SELL:       2       0       4       2       8
         5_BUY:       3       1       2       1       7
        5_SELL:       3       1       2       1       7
         6_BUY:       3       1       2       1       7
        6_SELL:       3       1       2       1       7
         7_BUY:       0       3       0       2       5
        7_SELL:       0       3       0       2       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       6       0      35      41
ROBO COLLOSION:      56      38      61      27     182
         1_BUY:       4       2       6       6      18
        1_SELL:       4       2       6       6      18
         2_BUY:       6       5       5       3      19
        2_SELL:       6       5       5       3      19
         3_BUY:       6       6       3       4      19
        3_SELL:       6       6       3       4      19
         4_BUY:       2       0       4       2       8
        4_SELL:       2       0       4       2       8
         5_BUY:       3       1       2       1       7
        5_SELL:       3       1       2       1       7
         6_BUY:       3       1       2       1       7
        6_SELL:       3       1       2       1       7
         7_BUY:       0       3       0       2       5
        7_SELL:       0       3       0       2       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:       0       0       0       0       0
         1_BUY:       0       0       0       0       0
        1_SELL:       0       0       0       0       0
         2_BUY:       0       0       0       0       0
        2_SELL:       0       0       0       0       0
         3_BUY:       0       0       0       0       0
        3_SELL:       0       0       0       0       0
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:       0       0       0       0       0
         1_BUY:       0       0       0       0       0
        1_SELL:       0       0       0       0       0
         2_BUY:       0       0       0       0       0
        2_SELL:       0       0       0       0       0
         3_BUY:       0       0       0       0       0
        3_SELL:       0       0       0       0       0
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       6       0      35      41
ROBO COLLOSION:      56      38      61      27     182
         1_BUY:       4       2       6       6      18
        1_SELL:       4       2       6       6      18
         2_BUY:       6       5       5       3      19
        2_SELL:       6       5       5       3      19
         3_BUY:       6       6       3       4      19
        3_SELL:       6       6       3       4      19
         4_BUY:       2       0       4       2       8
        4_SELL:       2       0       4       2       8
         5_BUY:       3       1       2       1       7
        5_SELL:       3       1       2       1       7
         6_BUY:       3       1       2       1       7
        6_SELL:       3       1       2       1       7
         7_BUY:       0       3       0       2       5
        7_SELL:       0       3       0       2       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       2       0      12      14
ROBO COLLOSION:       0       0       0       0       0
         1_BUY:       0       0       0       1       1
        1_SELL:       0       0       0       0       0
         2_BUY:       0       1       0       0       1
        2_SELL:       0       0       0       0       0
         3_BUY:       0       0       1       0       1
        3_SELL:       0       0       1       0       1
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:      99     152      28      26     305
         1_BUY:       3       3       5       4      15
        1_SELL:       3       3       5       4      15
         2_BUY:       5       9       4       2      20
        2_SELL:       5       9       4       2      20
         3_BUY:       5       5       3       6      19
        3_SELL:       5       5       3       6      19
         4_BUY:       1       2       2       0       5
        4_SELL:       1       2       2       0       5
         5_BUY:       1       2       1       2       6
        5_SELL:       1       2       1       2       6
         6_BUY:       3       1       2       0       6
        6_SELL:       3       1       2       0       6
         7_BUY:       0       0       1       3       4
        7_SELL:       0       0       1       3       4
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       2       0      12      14
ROBO COLLOSION:       0       0       0       0       0
         1_BUY:       0       0       0       1       1
        1_SELL:       0       0       0       0       0
         2_BUY:       0       1       0       0       1
        2_SELL:       0       0       0       0       0
         3_BUY:       0       0       1       0       1
        3_SELL:       0       0       1       0       1
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       1       2      13      30      46
ROBO COLLOSION:       0      12       0       1      13
         1_BUY:       0       0       0       1       1
        1_SELL:       0       0       0       0       0
         2_BUY:       0       1       1       0       2
        2_SELL:       0       1       0       0       1
         3_BUY:       1       1       0       0       2
        3_SELL:       1       1       0       0       2
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       1       2      13      30      46
ROBO COLLOSION:       0      12       0       1      13
         1_BUY:       0       0       0       1       1
        1_SELL:       0       0       0       0       0
         2_BUY:       0       1       1       0       2
        2_SELL:       0       1       0       0       1
         3_BUY:       1       1       0       0       2
        3_SELL:       1       1       0       0       2
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:      99     152      28      26     305
         1_BUY:       3       3       5       4      15
        1_SELL:       3       3       5       4      15
         2_BUY:       5       9       4       2      20
        2_SELL:       5       9       4       2      20
         3_BUY:       5       5       3       6      19
        3_SELL:       5       5       3       6      19
         4_BUY:       1       2       2       0       5
        4_SELL:       1       2       2       0       5
         5_BUY:       1       2       1       2       6
        5_SELL:       1       2       1       2       6
         6_BUY:       3       1       2       0       6
        6_SELL:       3       1       2       0       6
         7_BUY:       0       0       1       3       4
        7_SELL:       0       0       1       3       4
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:      99     152      28      26     305
         1_BUY:       3       3       5       4      15
        1_SELL:       3       3       5       4      15
         2_BUY:       5       9       4       2      20
        2_SELL:       5       9       4       2      20
         3_BUY:       5       5       3       6      19
        3_SELL:       5       5       3       6      19
         4_BUY:       1       2       2       0       5
        4_SELL:       1       2       2       0       5
         5_BUY:       1       2       1       2       6
        5_SELL:       1       2       1       2       6
         6_BUY:       3       1       2       0       6
        6_SELL:       3       1       2       0       6
         7_BUY:       0       0       1       3       4
        7_SELL:       0       0       1       3       4
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:     185     101      84      78     448
         1_BUY:       2       5       6       2      15
        1_SELL:       2       5       6       2      15
         2_BUY:       6       3       9       1      19
        2_SELL:       6       3       9       1      19
         3_BUY:       9       4       2       7      22
        3_SELL:       9       4       2       7      22
         4_BUY:       2       1       1       3       7
        4_SELL:       2       1       1       3       7
         5_BUY:       3       2       0       2       7
        5_SELL:       3       2       0       2       7
         6_BUY:       2       3       2       0       7
        6_SELL:       2       3       2       0       7
         7_BUY:       2       1       1       1       5
        7_SELL:       2       1       1       1       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:     185     101      84      78     448
         1_BUY:       2       5       6       2      15
        1_SELL:       2       5       6       2      15
         2_BUY:       6       3       9       1      19
        2_SELL:       6       3       9       1      19
         3_BUY:       9       4       2       7      22
        3_SELL:       8       4       2       7      21
         4_BUY:       2       1       1       3       7
        4_SELL:       2       1       1       2       6
         5_BUY:       3       2       0       2       7
        5_SELL:       3       2       0       2       7
         6_BUY:       2       3       2       0       7
        6_SELL:       2       3       2       0       7
         7_BUY:       2       1       1       1       5
        7_SELL:       2       1       1       1       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       1       0       0       1
ROBO COLLOSION:      75     159     195     118     547
         1_BUY:       4       5       5       4      18
        1_SELL:       3       5       5       4      17
         2_BUY:       3       6       8       2      19
        2_SELL:       3       6       8       2      19
         3_BUY:       7       6       2       6      21
        3_SELL:       7       6       2       6      21
         4_BUY:       1       3       2       1       7
        4_SELL:       1       3       2       1       7
         5_BUY:       2       2       1       2       7
        5_SELL:       2       2       1       2       7
         6_BUY:       1       3       1       2       7
        6_SELL:       1       3       1       2       7
         7_BUY:       0       1       2       2       5
        7_SELL:       0       1       2       2       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:      99     152      28      26     305
         1_BUY:       3       3       5       4      15
        1_SELL:       3       3       5       4      15
         2_BUY:       5       9       4       2      20
        2_SELL:       5       9       4       2      20
         3_BUY:       5       5       3       6      19
        3_SELL:       5       5       3       6      19
         4_BUY:       1       2       2       0       5
        4_SELL:       1       2       2       0       5
         5_BUY:       1       2       1       2       6
        5_SELL:       1       2       1       2       6
         6_BUY:       3       1       2       0       6
        6_SELL:       3       1       2       0       6
         7_BUY:       0       0       1       3       4
        7_SELL:       0       0       1       3       4
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       1       0       0       1
ROBO COLLOSION:     195     102      87     110     494
         1_BUY:       3       3       8       3      17
        1_SELL:       3       3       8       3      17
         2_BUY:       5       6       5       4      20
        2_SELL:       5       6       5       4      20
         3_BUY:       3       3       5       9      20
        3_SELL:       3       3       5       9      20
         4_BUY:       2       1       3       0       6
        4_SELL:       2       1       3       0       6
         5_BUY:       2       2       0       2       6
        5_SELL:       2       2       0       2       6
         6_BUY:       2       1       1       2       6
        6_SELL:       2       1       1       2       6
         7_BUY:       2       0       0       1       3
        7_SELL:       2       0       0       1       3
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:       0       0       0       0       0
         1_BUY:       0       0       0       3       3
        1_SELL:       0       0       0       3       3
         2_BUY:       0       2       1       0       3
        2_SELL:       0       2       1       0       3
         3_BUY:       0       1       0       0       1
        3_SELL:       0       1       0       0       1
         4_BUY:       0       1       0       0       1
        4_SELL:       0       1       0       0       1
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


